Wait Time,Nationality,Outcome,Period in which decisions made,Count
6 months to under 1 year,Libya,Refusal,2011 Q4,8
6 months to under 1 year,Malawi,Refusal,2011 Q4,2
6 months to under 1 year,Morocco,Refusal,2011 Q4,1
6 months to under 1 year,Nigeria,Refusal,2011 Q4,4
6 months to under 1 year,Pakistan,Refusal,2011 Q4,8
6 months to under 1 year,Russia,Refusal,2011 Q4,1
6 months to under 1 year,Rwanda,Refusal,2011 Q4,1
6 months to under 1 year,Serbia,Refusal,2011 Q4,1
6 months to under 1 year,Somalia,Refusal,2011 Q4,3
6 months to under 1 year,South Africa,Refusal,2011 Q4,1
6 months to under 1 year,Sri Lanka,Refusal,2011 Q4,12
6 months to under 1 year,Sudan,Refusal,2011 Q4,3
6 months to under 1 year,Syria,Refusal,2011 Q4,1
6 months to under 1 year,Taiwan,Refusal,2011 Q4,1
6 months to under 1 year,Tanzania,Refusal,2011 Q4,2
6 months to under 1 year,Thailand,Refusal,2011 Q4,1
6 months to under 1 year,Tunisia,Refusal,2011 Q4,1
6 months to under 1 year,Turkey,Refusal,2011 Q4,1
6 months to under 1 year,Uganda,Refusal,2011 Q4,2
6 months to under 1 year,Uzbekistan,Refusal,2011 Q4,1
6 months to under 1 year,Vietnam,Refusal,2011 Q4,3
6 months to under 1 year,Zimbabwe,Refusal,2011 Q4,3
6 months to under 1 year,Afghanistan,Refusal,2012 Q1,15
6 months to under 1 year,Albania,Refusal,2012 Q1,1
6 months to under 1 year,Algeria,Refusal,2012 Q1,6
6 months to under 1 year,Bahrain,Refusal,2012 Q1,1
6 months to under 1 year,Bangladesh,Refusal,2012 Q1,2
6 months to under 1 year,Burma,Refusal,2012 Q1,1
6 months to under 1 year,Cameroon,Refusal,2012 Q1,1
6 months to under 1 year,China,Refusal,2012 Q1,8
6 months to under 1 year,Congo (Democratic Republic),Refusal,2012 Q1,5
6 months to under 1 year,Eritrea,Refusal,2012 Q1,3
6 months to under 1 year,Guinea,Refusal,2012 Q1,1
6 months to under 1 year,Guinea-Bissau,Refusal,2012 Q1,1
6 months to under 1 year,India,Refusal,2012 Q1,1
6 months to under 1 year,Iran,Refusal,2012 Q1,17
6 months to under 1 year,Iraq,Refusal,2012 Q1,3
6 months to under 1 year,Ivory Coast,Refusal,2012 Q1,1
6 months to under 1 year,Jamaica,Refusal,2012 Q1,3
6 months to under 1 year,Japan,Refusal,2012 Q1,1
6 months to under 1 year,Kenya,Refusal,2012 Q1,2
6 months to under 1 year,Korea (North),Refusal,2012 Q1,2
6 months to under 1 year,Kosovo,Refusal,2012 Q1,1
6 months to under 1 year,Lebanon,Refusal,2012 Q1,1
6 months to under 1 year,Libya,Refusal,2012 Q1,17
6 months to under 1 year,Malawi,Refusal,2012 Q1,1
6 months to under 1 year,Mauritius,Refusal,2012 Q1,1
6 months to under 1 year,Nepal,Refusal,2012 Q1,1
6 months to under 1 year,Nigeria,Refusal,2012 Q1,10
6 months to under 1 year,Occupied Palestinian Territories,Refusal,2012 Q1,2
6 months to under 1 year,Pakistan,Refusal,2012 Q1,15
6 months to under 1 year,Poland,Refusal,2012 Q1,1
6 months to under 1 year,Refugee,Refusal,2012 Q1,1
6 months to under 1 year,Russia,Refusal,2012 Q1,3
6 months to under 1 year,Rwanda,Refusal,2012 Q1,1
6 months to under 1 year,Senegal,Refusal,2012 Q1,1
6 months to under 1 year,Serbia,Refusal,2012 Q1,1
6 months to under 1 year,Somalia,Refusal,2012 Q1,3
6 months to under 1 year,Sri Lanka,Refusal,2012 Q1,11
6 months to under 1 year,Sudan,Refusal,2012 Q1,3
6 months to under 1 year,Syria,Refusal,2012 Q1,2
6 months to under 1 year,Togo,Refusal,2012 Q1,1
6 months to under 1 year,Turkey,Refusal,2012 Q1,1
6 months to under 1 year,Uganda,Refusal,2012 Q1,1
6 months to under 1 year,Ukraine,Refusal,2012 Q1,1
6 months to under 1 year,Vietnam,Refusal,2012 Q1,2
6 months to under 1 year,Zimbabwe,Refusal,2012 Q1,5
6 months to under 1 year,Afghanistan,Refusal,2012 Q2,10
6 months to under 1 year,Albania,Refusal,2012 Q2,2
6 months to under 1 year,Algeria,Refusal,2012 Q2,2
6 months to under 1 year,Bangladesh,Refusal,2012 Q2,9
6 months to under 1 year,China,Refusal,2012 Q2,4
6 months to under 1 year,Congo,Refusal,2012 Q2,1
6 months to under 1 year,Congo (Democratic Republic),Refusal,2012 Q2,2
6 months to under 1 year,Egypt,Refusal,2012 Q2,1
6 months to under 1 year,Eritrea,Refusal,2012 Q2,1
6 months to under 1 year,"Gambia, The",Refusal,2012 Q2,2
6 months to under 1 year,Georgia,Refusal,2012 Q2,1
6 months to under 1 year,India,Refusal,2012 Q2,3
6 months to under 1 year,Iran,Refusal,2012 Q2,8
6 months to under 1 year,Iraq,Refusal,2012 Q2,1
6 months to under 1 year,Ivory Coast,Refusal,2012 Q2,1
6 months to under 1 year,Jamaica,Refusal,2012 Q2,1
6 months to under 1 year,Lebanon,Refusal,2012 Q2,1
6 months to under 1 year,Libya,Refusal,2012 Q2,2
6 months to under 1 year,Malawi,Refusal,2012 Q2,3
6 months to under 1 year,Morocco,Refusal,2012 Q2,1
6 months to under 1 year,Namibia,Refusal,2012 Q2,1
6 months to under 1 year,Nigeria,Refusal,2012 Q2,5
6 months to under 1 year,Pakistan,Refusal,2012 Q2,11
6 months to under 1 year,Somalia,Refusal,2012 Q2,2
6 months to under 1 year,Sri Lanka,Refusal,2012 Q2,12
6 months to under 1 year,Sudan,Refusal,2012 Q2,2
6 months to under 1 year,Syria,Refusal,2012 Q2,2
6 months to under 1 year,Tanzania,Refusal,2012 Q2,1
6 months to under 1 year,Tunisia,Refusal,2012 Q2,1
6 months to under 1 year,Turkey,Refusal,2012 Q2,2
6 months to under 1 year,Uganda,Refusal,2012 Q2,2
6 months to under 1 year,Ukraine,Refusal,2012 Q2,1
6 months to under 1 year,Uzbekistan,Refusal,2012 Q2,1
6 months to under 1 year,Vietnam,Refusal,2012 Q2,2
6 months to under 1 year,Zimbabwe,Refusal,2012 Q2,2
6 months to under 1 year,Afghanistan,Refusal,2012 Q3,8
6 months to under 1 year,Albania,Refusal,2012 Q3,8
6 months to under 1 year,Algeria,Refusal,2012 Q3,4
6 months to under 1 year,Bangladesh,Refusal,2012 Q3,6
6 months to under 1 year,Brazil,Refusal,2012 Q3,1
6 months to under 1 year,Burma,Refusal,2012 Q3,1
6 months to under 1 year,Chad,Refusal,2012 Q3,1
6 months to under 1 year,China,Refusal,2012 Q3,4
6 months to under 1 year,Congo,Refusal,2012 Q3,1
6 months to under 1 year,Congo (Democratic Republic),Refusal,2012 Q3,1
6 months to under 1 year,Eritrea,Refusal,2012 Q3,4
6 months to under 1 year,Ethiopia,Refusal,2012 Q3,1
6 months to under 1 year,"Gambia, The",Refusal,2012 Q3,1
6 months to under 1 year,Ghana,Refusal,2012 Q3,1
6 months to under 1 year,Guinea,Refusal,2012 Q3,1
6 months to under 1 year,India,Refusal,2012 Q3,5
6 months to under 1 year,Iran,Refusal,2012 Q3,19
6 months to under 1 year,Ivory Coast,Refusal,2012 Q3,2
6 months to under 1 year,Jamaica,Refusal,2012 Q3,1
6 months to under 1 year,Lesotho,Refusal,2012 Q3,1
6 months to under 1 year,Libya,Refusal,2012 Q3,2
6 months to under 1 year,Malawi,Refusal,2012 Q3,1
6 months to under 1 year,Mongolia,Refusal,2012 Q3,1
6 months to under 1 year,Morocco,Refusal,2012 Q3,1
6 months to under 1 year,Nigeria,Refusal,2012 Q3,11
6 months to under 1 year,Occupied Palestinian Territories,Refusal,2012 Q3,1
6 months to under 1 year,Pakistan,Refusal,2012 Q3,26
6 months to under 1 year,Poland,Refusal,2012 Q3,1
6 months to under 1 year,Russia,Refusal,2012 Q3,1
6 months to under 1 year,Sierra Leone,Refusal,2012 Q3,1
6 months to under 1 year,Somalia,Refusal,2012 Q3,2
6 months to under 1 year,South Africa,Refusal,2012 Q3,1
6 months to under 1 year,Sri Lanka,Refusal,2012 Q3,24
6 months to under 1 year,Stateless,Refusal,2012 Q3,1
6 months to under 1 year,Sudan,Refusal,2012 Q3,5
6 months to under 1 year,Tunisia,Refusal,2012 Q3,1
6 months to under 1 year,Turkey,Refusal,2012 Q3,5
6 months to under 1 year,Uganda,Refusal,2012 Q3,1
6 months to under 1 year,Vietnam,Refusal,2012 Q3,3
6 months to under 1 year,Yemen,Refusal,2012 Q3,1
6 months to under 1 year,Afghanistan,Refusal,2012 Q4,9
6 months to under 1 year,Albania,Refusal,2012 Q4,5
6 months to under 1 year,Algeria,Refusal,2012 Q4,1
6 months to under 1 year,Bangladesh,Refusal,2012 Q4,10
6 months to under 1 year,Chad,Refusal,2012 Q4,1
6 months to under 1 year,China,Refusal,2012 Q4,7
6 months to under 1 year,Congo (Democratic Republic),Refusal,2012 Q4,2
6 months to under 1 year,Egypt,Refusal,2012 Q4,2
6 months to under 1 year,Eritrea,Refusal,2012 Q4,2
6 months to under 1 year,"Gambia, The",Refusal,2012 Q4,5
6 months to under 1 year,Georgia,Refusal,2012 Q4,1
6 months to under 1 year,Ghana,Refusal,2012 Q4,1
6 months to under 1 year,Guinea,Refusal,2012 Q4,1
6 months to under 1 year,Hong Kong,Refusal,2012 Q4,1
6 months to under 1 year,India,Refusal,2012 Q4,7
6 months to under 1 year,Iran,Refusal,2012 Q4,7
6 months to under 1 year,Jamaica,Refusal,2012 Q4,1
6 months to under 1 year,Kenya,Refusal,2012 Q4,1
6 months to under 1 year,Korea (North),Refusal,2012 Q4,1
6 months to under 1 year,Libya,Refusal,2012 Q4,1
6 months to under 1 year,Malawi,Refusal,2012 Q4,2
6 months to under 1 year,Mauritius,Refusal,2012 Q4,1
6 months to under 1 year,Nepal,Refusal,2012 Q4,1
6 months to under 1 year,Nigeria,Refusal,2012 Q4,13
6 months to under 1 year,Pakistan,Refusal,2012 Q4,13
6 months to under 1 year,Poland,Refusal,2012 Q4,2
6 months to under 1 year,Russia,Refusal,2012 Q4,1
6 months to under 1 year,Sierra Leone,Refusal,2012 Q4,1
6 months to under 1 year,Somalia,Refusal,2012 Q4,6
6 months to under 1 year,Sri Lanka,Refusal,2012 Q4,11
6 months to under 1 year,Sudan,Refusal,2012 Q4,2
6 months to under 1 year,Tanzania,Refusal,2012 Q4,2
6 months to under 1 year,Vietnam,Refusal,2012 Q4,4
6 months to under 1 year,Zimbabwe,Refusal,2012 Q4,6
6 months to under 1 year,Afghanistan,Refusal,2013 Q1,14
6 months to under 1 year,Albania,Refusal,2013 Q1,10
6 months to under 1 year,Algeria,Refusal,2013 Q1,2
6 months to under 1 year,Angola,Refusal,2013 Q1,1
6 months to under 1 year,Bahrain,Refusal,2013 Q1,1
6 months to under 1 year,Bangladesh,Refusal,2013 Q1,9
6 months to under 1 year,Burundi,Refusal,2013 Q1,1
6 months to under 1 year,Cameroon,Refusal,2013 Q1,1
6 months to under 1 year,Chad,Refusal,2013 Q1,1
6 months to under 1 year,China,Refusal,2013 Q1,9
6 months to under 1 year,Comoros,Refusal,2013 Q1,1
6 months to under 1 year,Congo (Democratic Republic),Refusal,2013 Q1,1
6 months to under 1 year,Cuba,Refusal,2013 Q1,1
6 months to under 1 year,Egypt,Refusal,2013 Q1,3
6 months to under 1 year,Eritrea,Refusal,2013 Q1,1
6 months to under 1 year,Estonia,Refusal,2013 Q1,1
6 months to under 1 year,Ethiopia,Refusal,2013 Q1,2
6 months to under 1 year,"Gambia, The",Refusal,2013 Q1,2
6 months to under 1 year,Ghana,Refusal,2013 Q1,1
6 months to under 1 year,Guinea,Refusal,2013 Q1,2
6 months to under 1 year,India,Refusal,2013 Q1,10
6 months to under 1 year,Iran,Refusal,2013 Q1,16
6 months to under 1 year,Iraq,Refusal,2013 Q1,6
6 months to under 1 year,Ivory Coast,Refusal,2013 Q1,1
6 months to under 1 year,Jamaica,Refusal,2013 Q1,4
6 months to under 1 year,Kenya,Refusal,2013 Q1,3
6 months to under 1 year,Korea (North),Refusal,2013 Q1,1
6 months to under 1 year,Malawi,Refusal,2013 Q1,2
6 months to under 1 year,Niger,Refusal,2013 Q1,1
6 months to under 1 year,Nigeria,Refusal,2013 Q1,16
6 months to under 1 year,Occupied Palestinian Territories,Refusal,2013 Q1,1
6 months to under 1 year,Pakistan,Refusal,2013 Q1,29
6 months to under 1 year,Poland,Refusal,2013 Q1,1
6 months to under 1 year,Russia,Refusal,2013 Q1,1
6 months to under 1 year,Sierra Leone,Refusal,2013 Q1,1
6 months to under 1 year,Somalia,Refusal,2013 Q1,2
6 months to under 1 year,South Africa,Refusal,2013 Q1,3
6 months to under 1 year,Sri Lanka,Refusal,2013 Q1,45
6 months to under 1 year,Stateless,Refusal,2013 Q1,1
6 months to under 1 year,Sudan,Refusal,2013 Q1,3
6 months to under 1 year,Swaziland,Refusal,2013 Q1,1
6 months to under 1 year,Syria,Refusal,2013 Q1,1
6 months to under 1 year,Tanzania,Refusal,2013 Q1,1
6 months to under 1 year,Togo,Refusal,2013 Q1,1
6 months to under 1 year,Turkey,Refusal,2013 Q1,4
6 months to under 1 year,Uganda,Refusal,2013 Q1,5
6 months to under 1 year,United States,Refusal,2013 Q1,3
6 months to under 1 year,Vietnam,Refusal,2013 Q1,5
6 months to under 1 year,Yemen,Refusal,2013 Q1,1
6 months to under 1 year,Zambia,Refusal,2013 Q1,1
6 months to under 1 year,Zimbabwe,Refusal,2013 Q1,6
6 months to under 1 year,Afghanistan,Refusal,2013 Q2,8
6 months to under 1 year,Albania,Refusal,2013 Q2,29
6 months to under 1 year,Algeria,Refusal,2013 Q2,6
6 months to under 1 year,Azerbaijan,Refusal,2013 Q2,1
6 months to under 1 year,Bangladesh,Refusal,2013 Q2,5
6 months to under 1 year,Burma,Refusal,2013 Q2,2
6 months to under 1 year,Cameroon,Refusal,2013 Q2,2
6 months to under 1 year,China,Refusal,2013 Q2,15
6 months to under 1 year,Congo (Democratic Republic),Refusal,2013 Q2,4
6 months to under 1 year,Egypt,Refusal,2013 Q2,1
6 months to under 1 year,Equatorial Guinea,Refusal,2013 Q2,1
6 months to under 1 year,Eritrea,Refusal,2013 Q2,5
6 months to under 1 year,Ethiopia,Refusal,2013 Q2,1
6 months to under 1 year,"Gambia, The",Refusal,2013 Q2,5
6 months to under 1 year,Ghana,Refusal,2013 Q2,3
6 months to under 1 year,India,Refusal,2013 Q2,10
6 months to under 1 year,Iran,Refusal,2013 Q2,33
6 months to under 1 year,Iraq,Refusal,2013 Q2,10
6 months to under 1 year,Ivory Coast,Refusal,2013 Q2,2
6 months to under 1 year,Jamaica,Refusal,2013 Q2,6
6 months to under 1 year,Kenya,Refusal,2013 Q2,6
6 months to under 1 year,Lebanon,Refusal,2013 Q2,3
6 months to under 1 year,Libya,Refusal,2013 Q2,4
6 months to under 1 year,Mauritius,Refusal,2013 Q2,1
6 months to under 1 year,Morocco,Refusal,2013 Q2,1
6 months to under 1 year,Nepal,Refusal,2013 Q2,2
6 months to under 1 year,Nigeria,Refusal,2013 Q2,21
6 months to under 1 year,Occupied Palestinian Territories,Refusal,2013 Q2,2
6 months to under 1 year,Other and unknown,Refusal,2013 Q2,1
6 months to under 1 year,Pakistan,Refusal,2013 Q2,32
6 months to under 1 year,Poland,Refusal,2013 Q2,2
6 months to under 1 year,Russia,Refusal,2013 Q2,1
6 months to under 1 year,Senegal,Refusal,2013 Q2,1
6 months to under 1 year,Somalia,Refusal,2013 Q2,3
6 months to under 1 year,South Africa,Refusal,2013 Q2,1
6 months to under 1 year,Sri Lanka,Refusal,2013 Q2,19
6 months to under 1 year,Stateless,Refusal,2013 Q2,1
6 months to under 1 year,Sudan,Refusal,2013 Q2,1
6 months to under 1 year,Syria,Refusal,2013 Q2,4
6 months to under 1 year,Tanzania,Refusal,2013 Q2,2
6 months to under 1 year,Uganda,Refusal,2013 Q2,3
6 months to under 1 year,Vietnam,Refusal,2013 Q2,4
6 months to under 1 year,Zimbabwe,Refusal,2013 Q2,8
6 months to under 1 year,Afghanistan,Refusal,2013 Q3,16
6 months to under 1 year,Albania,Refusal,2013 Q3,12
6 months to under 1 year,Algeria,Refusal,2013 Q3,5
6 months to under 1 year,Azerbaijan,Refusal,2013 Q3,1
6 months to under 1 year,Bangladesh,Refusal,2013 Q3,10
6 months to under 1 year,Cameroon,Refusal,2013 Q3,1
6 months to under 1 year,China,Refusal,2013 Q3,11
6 months to under 1 year,Congo (Democratic Republic),Refusal,2013 Q3,3
6 months to under 1 year,Dominica,Refusal,2013 Q3,1
6 months to under 1 year,Egypt,Refusal,2013 Q3,4
6 months to under 1 year,El Salvador,Refusal,2013 Q3,1
6 months to under 1 year,Eritrea,Refusal,2013 Q3,2
6 months to under 1 year,Ethiopia,Refusal,2013 Q3,4
6 months to under 1 year,"Gambia, The",Refusal,2013 Q3,2
6 months to under 1 year,Ghana,Refusal,2013 Q3,4
6 months to under 1 year,India,Refusal,2013 Q3,10
6 months to under 1 year,Iran,Refusal,2013 Q3,28
6 months to under 1 year,Iraq,Refusal,2013 Q3,1
6 months to under 1 year,Ivory Coast,Refusal,2013 Q3,2
6 months to under 1 year,Jamaica,Refusal,2013 Q3,3
6 months to under 1 year,Kenya,Refusal,2013 Q3,3
6 months to under 1 year,Kuwait,Refusal,2013 Q3,1
6 months to under 1 year,Latvia,Refusal,2013 Q3,2
6 months to under 1 year,Libya,Refusal,2013 Q3,2
6 months to under 1 year,Lithuania,Refusal,2013 Q3,3
6 months to under 1 year,Malawi,Refusal,2013 Q3,2
6 months to under 1 year,Nepal,Refusal,2013 Q3,1
6 months to under 1 year,Nigeria,Refusal,2013 Q3,15
6 months to under 1 year,Pakistan,Refusal,2013 Q3,42
6 months to under 1 year,Refugee,Refusal,2013 Q3,1
6 months to under 1 year,Rwanda,Refusal,2013 Q3,1
6 months to under 1 year,Sierra Leone,Refusal,2013 Q3,1
6 months to under 1 year,Somalia,Refusal,2013 Q3,7
6 months to under 1 year,Sri Lanka,Refusal,2013 Q3,13
6 months to under 1 year,Stateless,Refusal,2013 Q3,2
6 months to under 1 year,Sudan,Refusal,2013 Q3,2
6 months to under 1 year,Syria,Refusal,2013 Q3,2
6 months to under 1 year,Togo,Refusal,2013 Q3,1
6 months to under 1 year,Turkey,Refusal,2013 Q3,3
6 months to under 1 year,Uganda,Refusal,2013 Q3,2
6 months to under 1 year,Vietnam,Refusal,2013 Q3,5
6 months to under 1 year,Western Sahara,Refusal,2013 Q3,1
6 months to under 1 year,Yemen,Refusal,2013 Q3,3
6 months to under 1 year,Zimbabwe,Refusal,2013 Q3,7
6 months to under 1 year,Afghanistan,Refusal,2013 Q4,7
6 months to under 1 year,Albania,Refusal,2013 Q4,7
6 months to under 1 year,Bangladesh,Refusal,2013 Q4,5
6 months to under 1 year,Cameroon,Refusal,2013 Q4,3
6 months to under 1 year,China,Refusal,2013 Q4,8
6 months to under 1 year,Congo (Democratic Republic),Refusal,2013 Q4,1
6 months to under 1 year,Egypt,Refusal,2013 Q4,2
6 months to under 1 year,Eritrea,Refusal,2013 Q4,1
6 months to under 1 year,Fiji,Refusal,2013 Q4,1
6 months to under 1 year,Georgia,Refusal,2013 Q4,1
6 months to under 1 year,Ghana,Refusal,2013 Q4,2
6 months to under 1 year,Guinea,Refusal,2013 Q4,1
6 months to under 1 year,India,Refusal,2013 Q4,4
6 months to under 1 year,Iran,Refusal,2013 Q4,12
6 months to under 1 year,Iraq,Refusal,2013 Q4,1
6 months to under 1 year,Jamaica,Refusal,2013 Q4,2
6 months to under 1 year,Kenya,Refusal,2013 Q4,3
6 months to under 1 year,Kosovo,Refusal,2013 Q4,1
6 months to under 1 year,Kuwait,Refusal,2013 Q4,1
6 months to under 1 year,Lebanon,Refusal,2013 Q4,1
6 months to under 1 year,Malawi,Refusal,2013 Q4,4
6 months to under 1 year,Mauritius,Refusal,2013 Q4,1
6 months to under 1 year,Nigeria,Refusal,2013 Q4,7
6 months to under 1 year,Occupied Palestinian Territories,Refusal,2013 Q4,1
6 months to under 1 year,Pakistan,Refusal,2013 Q4,15
6 months to under 1 year,Somalia,Refusal,2013 Q4,2
6 months to under 1 year,Sri Lanka,Refusal,2013 Q4,14
6 months to under 1 year,Stateless,Refusal,2013 Q4,1
6 months to under 1 year,Sudan,Refusal,2013 Q4,3
6 months to under 1 year,Syria,Refusal,2013 Q4,5
6 months to under 1 year,Turkey,Refusal,2013 Q4,1
6 months to under 1 year,Vietnam,Refusal,2013 Q4,6
6 months to under 1 year,Yemen,Refusal,2013 Q4,1
6 months to under 1 year,Zimbabwe,Refusal,2013 Q4,2
6 months to under 1 year,Afghanistan,Refusal,2014 Q1,8
6 months to under 1 year,Albania,Refusal,2014 Q1,10
6 months to under 1 year,Bangladesh,Refusal,2014 Q1,5
6 months to under 1 year,China,Refusal,2014 Q1,2
6 months to under 1 year,Egypt,Refusal,2014 Q1,2
6 months to under 1 year,Eritrea,Refusal,2014 Q1,3
6 months to under 1 year,Ethiopia,Refusal,2014 Q1,1
6 months to under 1 year,Georgia,Refusal,2014 Q1,1
6 months to under 1 year,Ghana,Refusal,2014 Q1,1
6 months to under 1 year,Greece,Refusal,2014 Q1,1
6 months to under 1 year,Grenada,Refusal,2014 Q1,1
6 months to under 1 year,Guinea,Refusal,2014 Q1,2
6 months to under 1 year,India,Refusal,2014 Q1,2
6 months to under 1 year,Iran,Refusal,2014 Q1,8
6 months to under 1 year,Iraq,Refusal,2014 Q1,6
6 months to under 1 year,Ivory Coast,Refusal,2014 Q1,3
6 months to under 1 year,Jamaica,Refusal,2014 Q1,2
6 months to under 1 year,Kuwait,Refusal,2014 Q1,1
6 months to under 1 year,Latvia,Refusal,2014 Q1,2
6 months to under 1 year,Libya,Refusal,2014 Q1,1
6 months to under 1 year,Malawi,Refusal,2014 Q1,1
6 months to under 1 year,Mongolia,Refusal,2014 Q1,1
6 months to under 1 year,Morocco,Refusal,2014 Q1,2
6 months to under 1 year,Namibia,Refusal,2014 Q1,1
6 months to under 1 year,Niger,Refusal,2014 Q1,1
6 months to under 1 year,Nigeria,Refusal,2014 Q1,3
6 months to under 1 year,Pakistan,Refusal,2014 Q1,14
6 months to under 1 year,Poland,Refusal,2014 Q1,5
6 months to under 1 year,Senegal,Refusal,2014 Q1,1
6 months to under 1 year,Sierra Leone,Refusal,2014 Q1,1
6 months to under 1 year,Somalia,Refusal,2014 Q1,2
6 months to under 1 year,Sri Lanka,Refusal,2014 Q1,13
6 months to under 1 year,Sudan,Refusal,2014 Q1,1
6 months to under 1 year,Syria,Refusal,2014 Q1,6
6 months to under 1 year,Tanzania,Refusal,2014 Q1,1
6 months to under 1 year,Tunisia,Refusal,2014 Q1,1
6 months to under 1 year,Turkey,Refusal,2014 Q1,4
6 months to under 1 year,Uganda,Refusal,2014 Q1,1
6 months to under 1 year,Vietnam,Refusal,2014 Q1,3
6 months to under 1 year,Yemen,Refusal,2014 Q1,1
6 months to under 1 year,Zambia,Refusal,2014 Q1,1
6 months to under 1 year,Zimbabwe,Refusal,2014 Q1,5
6 months to under 1 year,Afghanistan,Refusal,2014 Q2,9
6 months to under 1 year,Albania,Refusal,2014 Q2,24
6 months to under 1 year,Algeria,Refusal,2014 Q2,2
6 months to under 1 year,Bangladesh,Refusal,2014 Q2,9
6 months to under 1 year,Barbados,Refusal,2014 Q2,1
6 months to under 1 year,Burma,Refusal,2014 Q2,1
6 months to under 1 year,Cameroon,Refusal,2014 Q2,1
6 months to under 1 year,China,Refusal,2014 Q2,18
6 months to under 1 year,Congo (Democratic Republic),Refusal,2014 Q2,3
6 months to under 1 year,Egypt,Refusal,2014 Q2,3
6 months to under 1 year,Eritrea,Refusal,2014 Q2,3
6 months to under 1 year,"Gambia, The",Refusal,2014 Q2,1
6 months to under 1 year,Ghana,Refusal,2014 Q2,1
6 months to under 1 year,India,Refusal,2014 Q2,14
6 months to under 1 year,Iran,Refusal,2014 Q2,15
6 months to under 1 year,Iraq,Refusal,2014 Q2,4
6 months to under 1 year,Israel,Refusal,2014 Q2,1
6 months to under 1 year,Jamaica,Refusal,2014 Q2,4
6 months to under 1 year,Lebanon,Refusal,2014 Q2,1
6 months to under 1 year,Libya,Refusal,2014 Q2,4
6 months to under 1 year,Lithuania,Refusal,2014 Q2,1
6 months to under 1 year,Malawi,Refusal,2014 Q2,1
6 months to under 1 year,Mali,Refusal,2014 Q2,1
6 months to under 1 year,Mauritius,Refusal,2014 Q2,1
6 months to under 1 year,Nepal,Refusal,2014 Q2,1
6 months to under 1 year,Nigeria,Refusal,2014 Q2,9
6 months to under 1 year,Pakistan,Refusal,2014 Q2,38
6 months to under 1 year,Peru,Refusal,2014 Q2,1
6 months to under 1 year,Poland,Refusal,2014 Q2,2
6 months to under 1 year,Refugee,Refusal,2014 Q2,2
6 months to under 1 year,Somalia,Refusal,2014 Q2,4
6 months to under 1 year,Sri Lanka,Refusal,2014 Q2,36
6 months to under 1 year,Sudan,Refusal,2014 Q2,2
6 months to under 1 year,Syria,Refusal,2014 Q2,10
6 months to under 1 year,Trinidad and Tobago,Refusal,2014 Q2,1
6 months to under 1 year,Turkey,Refusal,2014 Q2,6
6 months to under 1 year,Uganda,Refusal,2014 Q2,4
6 months to under 1 year,Uzbekistan,Refusal,2014 Q2,1
6 months to under 1 year,Vietnam,Refusal,2014 Q2,8
6 months to under 1 year,Zambia,Refusal,2014 Q2,1
6 months to under 1 year,Zimbabwe,Refusal,2014 Q2,4
6 months to under 1 year,Afghanistan,Refusal,2014 Q3,23
6 months to under 1 year,Albania,Refusal,2014 Q3,113
6 months to under 1 year,Algeria,Refusal,2014 Q3,3
6 months to under 1 year,Angola,Refusal,2014 Q3,3
6 months to under 1 year,Bangladesh,Refusal,2014 Q3,16
6 months to under 1 year,Brazil,Refusal,2014 Q3,2
6 months to under 1 year,Burma,Refusal,2014 Q3,1
6 months to under 1 year,Cameroon,Refusal,2014 Q3,2
6 months to under 1 year,China,Refusal,2014 Q3,32
6 months to under 1 year,Congo,Refusal,2014 Q3,3
6 months to under 1 year,Congo (Democratic Republic),Refusal,2014 Q3,9
6 months to under 1 year,Cuba,Refusal,2014 Q3,1
6 months to under 1 year,Egypt,Refusal,2014 Q3,14
6 months to under 1 year,El Salvador,Refusal,2014 Q3,5
6 months to under 1 year,Eritrea,Refusal,2014 Q3,27
6 months to under 1 year,Ethiopia,Refusal,2014 Q3,10
6 months to under 1 year,"Gambia, The",Refusal,2014 Q3,15
6 months to under 1 year,Ghana,Refusal,2014 Q3,8
6 months to under 1 year,Guinea,Refusal,2014 Q3,3
6 months to under 1 year,Guinea-Bissau,Refusal,2014 Q3,1
6 months to under 1 year,Honduras,Refusal,2014 Q3,1
6 months to under 1 year,Hong Kong,Refusal,2014 Q3,1
6 months to under 1 year,Hungary,Refusal,2014 Q3,1
6 months to under 1 year,India,Refusal,2014 Q3,37
6 months to under 1 year,Iran,Refusal,2014 Q3,77
6 months to under 1 year,Iraq,Refusal,2014 Q3,13
6 months to under 1 year,Ivory Coast,Refusal,2014 Q3,5
6 months to under 1 year,Jamaica,Refusal,2014 Q3,8
6 months to under 1 year,Kenya,Refusal,2014 Q3,6
6 months to under 1 year,Korea (North),Refusal,2014 Q3,1
6 months to under 1 year,Kosovo,Refusal,2014 Q3,1
6 months to under 1 year,Kuwait,Refusal,2014 Q3,1
6 months to under 1 year,Latvia,Refusal,2014 Q3,1
6 months to under 1 year,Lebanon,Refusal,2014 Q3,2
6 months to under 1 year,Liberia,Refusal,2014 Q3,1
6 months to under 1 year,Libya,Refusal,2014 Q3,6
6 months to under 1 year,Malawi,Refusal,2014 Q3,3
6 months to under 1 year,Mauritius,Refusal,2014 Q3,2
6 months to under 1 year,Mongolia,Refusal,2014 Q3,1
6 months to under 1 year,Morocco,Refusal,2014 Q3,2
